"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47179","new changes for mmt","firefox","2026-02-25","failed","2026-02-25","","mmtNewChanges.spec.js","",""
"","22176","MMT","firefox","2026-02-25","passed","2026-02-25","","mmtGlobal.spec.js","",""
"","7050","CRM","firefox","2026-02-25","failed","2026-02-25","","e2eScenario.spec.js","",""
"","32795","Fetch total flights from Bengaluru to Chennai","firefox","2026-02-25","broken","2026-02-25","","check.spec.js","",""
"","10284","","firefox","2026-02-25","passed","2026-02-25","","login.spec.js","",""
"","10387","get started link","firefox","2026-02-25","passed","2026-02-25","","example.spec.js","",""
"","60537","E2E","firefox","2026-02-25","failed","2026-02-25","","makemytrip.spec.js","",""
"","11367","has title","firefox","2026-02-25","passed","2026-02-25","","example.spec.js","",""
